frame_index,system_relative_time,utc_timestamp,content_width,content_height
311,1294848497829,2026-04-22T04:17:01.910,1920,1080
312,1294849497822,2026-04-22T04:17:02.010,1920,1080
313,1294850497800,2026-04-22T04:17:02.110,1920,1080
314,1294851497788,2026-04-22T04:17:02.210,1920,1080
315,1294852497780,2026-04-22T04:17:02.310,1920,1080
316,1294853497765,2026-04-22T04:17:02.410,1920,1080
317,1294854497759,2026-04-22T04:17:02.510,1920,1080
318,1294855497746,2026-04-22T04:17:02.610,1920,1080
319,1294856497745,2026-04-22T04:17:02.710,1920,1080
320,1294857497730,2026-04-22T04:17:02.810,1920,1080
321,1294858497721,2026-04-22T04:17:02.910,1920,1080
322,1294859497711,2026-04-22T04:17:03.010,1920,1080
323,1294860497706,2026-04-22T04:17:03.110,1920,1080
324,1294861497684,2026-04-22T04:17:03.210,1920,1080
325,1294862497663,2026-04-22T04:17:03.310,1920,1080
326,1294863497645,2026-04-22T04:17:03.410,1920,1080
327,1294864497634,2026-04-22T04:17:03.510,1920,1080
328,1294865497622,2026-04-22T04:17:03.610,1920,1080
329,1294866497611,2026-04-22T04:17:03.710,1920,1080
330,1294867497612,2026-04-22T04:17:03.810,1920,1080
331,1294868497599,2026-04-22T04:17:03.910,1920,1080
332,1294869497599,2026-04-22T04:17:04.010,1920,1080
333,1294870497587,2026-04-22T04:17:04.110,1920,1080
334,1294871497578,2026-04-22T04:17:04.210,1920,1080
335,1294872497561,2026-04-22T04:17:04.310,1920,1080
336,1294873664218,2026-04-22T04:17:04.427,1920,1080
337,1294874497536,2026-04-22T04:17:04.510,1920,1080
338,1294875497528,2026-04-22T04:17:04.610,1920,1080
339,1294876497514,2026-04-22T04:17:04.710,1920,1080
340,1294877497495,2026-04-22T04:17:04.810,1920,1080
341,1294878497473,2026-04-22T04:17:04.910,1920,1080
342,1294879497454,2026-04-22T04:17:05.010,1920,1080
343,1294880497437,2026-04-22T04:17:05.110,1920,1080
344,1294881497441,2026-04-22T04:17:05.210,1920,1080
345,1294882497421,2026-04-22T04:17:05.310,1920,1080
346,1294883497409,2026-04-22T04:17:05.410,1920,1080
347,1294884497407,2026-04-22T04:17:05.510,1920,1080
348,1294885497394,2026-04-22T04:17:05.610,1920,1080
349,1294886497384,2026-04-22T04:17:05.710,1920,1080
350,1294887497372,2026-04-22T04:17:05.810,1920,1080
351,1294888497366,2026-04-22T04:17:05.910,1920,1080
352,1294889497339,2026-04-22T04:17:06.010,1920,1080
353,1294890497320,2026-04-22T04:17:06.110,1920,1080
354,1294891497298,2026-04-22T04:17:06.210,1920,1080
355,1294892497293,2026-04-22T04:17:06.310,1920,1080
356,1294893497276,2026-04-22T04:17:06.410,1920,1080
357,1294894497261,2026-04-22T04:17:06.510,1920,1080
358,1294895497256,2026-04-22T04:17:06.610,1920,1080
359,1294896497243,2026-04-22T04:17:06.710,1920,1080
360,1294897497221,2026-04-22T04:17:06.810,1920,1080
361,1294898497198,2026-04-22T04:17:06.910,1920,1080
362,1294899497177,2026-04-22T04:17:07.010,1920,1080
363,1294900497158,2026-04-22T04:17:07.110,1920,1080
364,1294901497137,2026-04-22T04:17:07.210,1920,1080
365,1294902497118,2026-04-22T04:17:07.310,1920,1080
366,1294903497097,2026-04-22T04:17:07.410,1920,1080
367,1294904497072,2026-04-22T04:17:07.510,1920,1080
368,1294905497048,2026-04-22T04:17:07.610,1920,1080
369,1294906497026,2026-04-22T04:17:07.710,1920,1080
370,1294907497024,2026-04-22T04:17:07.810,1920,1080
371,1294908497029,2026-04-22T04:17:07.910,1920,1080
372,1294909497028,2026-04-22T04:17:08.010,1920,1080
373,1294910497041,2026-04-22T04:17:08.110,1920,1080
374,1294911497034,2026-04-22T04:17:08.210,1920,1080
375,1294912497048,2026-04-22T04:17:08.310,1920,1080
376,1294913497049,2026-04-22T04:17:08.410,1920,1080
377,1294914497053,2026-04-22T04:17:08.510,1920,1080
378,1294915497057,2026-04-22T04:17:08.610,1920,1080
379,1294916497053,2026-04-22T04:17:08.710,1920,1080
380,1294917497043,2026-04-22T04:17:08.810,1920,1080
381,1294918497046,2026-04-22T04:17:08.910,1920,1080
382,1294919497046,2026-04-22T04:17:09.010,1920,1080
383,1294920497040,2026-04-22T04:17:09.110,1920,1080
384,1294921497031,2026-04-22T04:17:09.210,1920,1080
385,1294922497029,2026-04-22T04:17:09.310,1920,1080
386,1294923497018,2026-04-22T04:17:09.410,1920,1080
387,1294924497020,2026-04-22T04:17:09.510,1920,1080
388,1294925497008,2026-04-22T04:17:09.610,1920,1080
389,1294926497006,2026-04-22T04:17:09.710,1920,1080
390,1294927496991,2026-04-22T04:17:09.810,1920,1080
391,1294928496987,2026-04-22T04:17:09.910,1920,1080
392,1294929496975,2026-04-22T04:17:10.010,1920,1080
393,1294930496963,2026-04-22T04:17:10.110,1920,1080
394,1294931496970,2026-04-22T04:17:10.210,1920,1080
395,1294932496945,2026-04-22T04:17:10.310,1920,1080
396,1294933496927,2026-04-22T04:17:10.410,1920,1080
397,1294934496916,2026-04-22T04:17:10.510,1920,1080
398,1294936163574,2026-04-22T04:17:10.676,1920,1080
399,1294936496903,2026-04-22T04:17:10.710,1920,1080
400,1294937496893,2026-04-22T04:17:10.810,1920,1080
401,1294938496876,2026-04-22T04:17:10.910,1920,1080
402,1294939496841,2026-04-22T04:17:11.010,1920,1080
403,1294940496815,2026-04-22T04:17:11.110,1920,1080
404,1294941496787,2026-04-22T04:17:11.210,1920,1080
405,1294942496751,2026-04-22T04:17:11.310,1920,1080
406,1294943496735,2026-04-22T04:17:11.410,1920,1080
407,1294944496706,2026-04-22T04:17:11.510,1920,1080
408,1294945496676,2026-04-22T04:17:11.610,1920,1080
409,1294946496637,2026-04-22T04:17:11.710,1920,1080
410,1294947496603,2026-04-22T04:17:11.810,1920,1080
411,1294948496566,2026-04-22T04:17:11.910,1920,1080
412,1294949496544,2026-04-22T04:17:12.010,1920,1080
413,1294950496548,2026-04-22T04:17:12.110,1920,1080
414,1294951496533,2026-04-22T04:17:12.210,1920,1080
415,1294952496504,2026-04-22T04:17:12.310,1920,1080
416,1294953663155,2026-04-22T04:17:12.426,1920,1080
417,1294954496490,2026-04-22T04:17:12.510,1920,1080
418,1294955496483,2026-04-22T04:17:12.610,1920,1080
419,1294956496473,2026-04-22T04:17:12.710,1920,1080
420,1294957496475,2026-04-22T04:17:12.810,1920,1080
421,1294958496470,2026-04-22T04:17:12.910,1920,1080
422,1294959496463,2026-04-22T04:17:13.010,1920,1080
423,1294960496462,2026-04-22T04:17:13.110,1920,1080
424,1294961496445,2026-04-22T04:17:13.210,1920,1080
425,1294962496431,2026-04-22T04:17:13.310,1920,1080
426,1294963496428,2026-04-22T04:17:13.410,1920,1080
427,1294964496420,2026-04-22T04:17:13.510,1920,1080
428,1294965496416,2026-04-22T04:17:13.610,1920,1080
429,1294966496416,2026-04-22T04:17:13.710,1920,1080
430,1294967496413,2026-04-22T04:17:13.810,1920,1080
431,1294968496400,2026-04-22T04:17:13.910,1920,1080
432,1294969496397,2026-04-22T04:17:14.010,1920,1080
433,1294970496383,2026-04-22T04:17:14.110,1920,1080
434,1294971496382,2026-04-22T04:17:14.210,1920,1080
435,1294972496377,2026-04-22T04:17:14.310,1920,1080
436,1294973496374,2026-04-22T04:17:14.410,1920,1080
437,1294974496372,2026-04-22T04:17:14.510,1920,1080
438,1294975496352,2026-04-22T04:17:14.610,1920,1080
439,1294976496343,2026-04-22T04:17:14.710,1920,1080
440,1294977496343,2026-04-22T04:17:14.810,1920,1080
441,1294978496348,2026-04-22T04:17:14.910,1920,1080
442,1294979496338,2026-04-22T04:17:15.010,1920,1080
443,1294980496330,2026-04-22T04:17:15.110,1920,1080
444,1294981496321,2026-04-22T04:17:15.210,1920,1080
445,1294982496293,2026-04-22T04:17:15.310,1920,1080
446,1294983496278,2026-04-22T04:17:15.410,1920,1080
447,1294984496256,2026-04-22T04:17:15.510,1920,1080
448,1294985496239,2026-04-22T04:17:15.610,1920,1080
449,1294986496224,2026-04-22T04:17:15.710,1920,1080
450,1294987496208,2026-04-22T04:17:15.810,1920,1080
451,1294988496178,2026-04-22T04:17:15.910,1920,1080
452,1294989496144,2026-04-22T04:17:16.010,1920,1080
453,1294990496128,2026-04-22T04:17:16.110,1920,1080
454,1294991496101,2026-04-22T04:17:16.210,1920,1080
455,1294992496099,2026-04-22T04:17:16.310,1920,1080
456,1294993496092,2026-04-22T04:17:16.410,1920,1080
457,1294994496072,2026-04-22T04:17:16.510,1920,1080
458,1294995496044,2026-04-22T04:17:16.610,1920,1080
459,1294996496043,2026-04-22T04:17:16.710,1920,1080
460,1294997496024,2026-04-22T04:17:16.810,1920,1080
461,1294998496003,2026-04-22T04:17:16.910,1920,1080
462,1294999495998,2026-04-22T04:17:17.010,1920,1080
463,1295000495988,2026-04-22T04:17:17.110,1920,1080
464,1295001495985,2026-04-22T04:17:17.210,1920,1080
465,1295002495989,2026-04-22T04:17:17.310,1920,1080
466,1295003495977,2026-04-22T04:17:17.410,1920,1080
467,1295004495958,2026-04-22T04:17:17.510,1920,1080
468,1295005495953,2026-04-22T04:17:17.610,1920,1080
469,1295006495937,2026-04-22T04:17:17.710,1920,1080
470,1295007495925,2026-04-22T04:17:17.810,1920,1080
471,1295008495921,2026-04-22T04:17:17.910,1920,1080
472,1295009495913,2026-04-22T04:17:18.010,1920,1080
473,1295010495885,2026-04-22T04:17:18.110,1920,1080
474,1295011495871,2026-04-22T04:17:18.210,1920,1080
475,1295012495854,2026-04-22T04:17:18.310,1920,1080
476,1295013495850,2026-04-22T04:17:18.410,1920,1080
477,1295014495837,2026-04-22T04:17:18.510,1920,1080
